target_id	length	eff_length	est_counts	tpm
col11a2	1086	936.389	162	15.4353
runx2(2of2)	837	687.473	0	0
gtf2ird2(3of3)	574	425.839	6	1.25707
mt_nd4	1381	1231.39	19035.9	1379.22
mt_co1	1545	1395.39	57253.4	3660.67
hoxb9(2of2)	827	677.473	571	75.1968
mt_nd2	1036	886.389	7389.87	743.819
mt_cyb	1137	987.389	19511	1762.98
mt_nd1	975	825.473	14763	1595.61
sox11(2of2)	1139	989.389	15.3024	1.3799
mt_co2	691	541.707	17666.5	2909.66
mt_nd5	1842	1692.39	11164.7	588.576
zmym1(14of14)	1113	963.389	3	0.277827
sphk1(2of3)	500	353.209	1	0.252594
smdt1(2of2)	762	612.537	1079	157.161
smc6(2of2)	699	549.707	0	0
sebox(2of2)	714	564.652	1	0.158006
rpl38	332	198.491	8669	3896.58
ppp1r3a(4of4)	255	135.107	707	466.87
poln	753	603.537	41	6.06087
pla2r1(3of3)	765	615.537	3	0.434833
pde4d(3of3)	1495	1345.39	10	0.663143
pcsk7(2of2)	317	185.739	0	0
nlrc3(24of24)	662	512.862	1	0.173962
necab1(4of4)	232	118.271	37	27.9111
mt_nd6	519	371.663	2779	667.106
mt_nd4l	297	168.973	1424	751.879
mt_nd3	349	213.337	689	288.143
mt_co3	784	634.537	20077	2822.91
mt_atp8	168	73.4014	562	683.104
mt_atp6	683	533.707	7249	1211.8
mfap4(4of4)	611	462.301	0	0
klhl38(2of2)	1450	1300.39	12	0.823309
ins	573	424.839	19	3.9901
hoxa2b	627	478.158	39	7.27692
gtf2ird2(2of3)	890	740.473	41	4.94003
fzd3(4of4)	369	230.561	31	11.9959
fgfbp1(3of3)	1392	1242.39	6	0.430872
fgf11(2of2)	483	336.939	0	0
elovl4(6of6)	471	325.507	1	0.274091
deptor(3of3)	384	244.044	2	0.731167
cdkn1c(2of2)	213	104.199	6	5.1374
adh5(4of4)	1537	1387.39	7	0.450147
a2ml1(4of4)	1662	1512.39	4	0.235967
glipr2(2of2)	687	537.707	36	5.97326
pax6(4of4)	1522	1372.39	7.13898	0.464102
fgf22	3384	3234.39	0	0
cdk14(3of3)	461	315.864	4	1.12983
ccni2	2524	2374.39	1998.53	75.0954
polq	5318	5168.39	114	1.96791
fgf12(2of2)	4868	4718.39	226.466	4.28217
vps52	3162	3012.39	394	11.6692
rps29	345	209.893	2822	1199.54
cfap46(1of2)	3396	3246.39	107.802	2.96266
sash1(2of2)	7689	7539.39	744.073	8.8051
pla2g1b(3of3)	2329	2179.39	7	0.286562
krt222	2245	2095.39	11	0.468363
pdp1(3of3)	2695	2545.39	4	0.140204
mtus2(2of2)	2679	2529.39	15	0.529091
mtf2(2of2)	2345	2195.39	1216.22	49.4259
lin37	1710	1560.39	1025	58.6065
cfap46(2of2)	2985	2835.39	23.1977	0.729939
phf14	3730	3580.39	1127	28.0833
chd3(2of2)	8348	8198.39	28	0.304708
slc7a3	4392	4242.39	155	3.25969
nkx1_2	988	838.473	1	0.106406
ghsr(4of4)	2292	2142.39	5.0119	0.208717
cdhr5(3of3)	3497	3347.39	76.2803	2.03311
